subject_id,target,A,B,delta_technique,n_A,n_B,mean_auc_A,mean_auc_B,delta_auc,p_auc,auc_dir,mean_final_A,mean_final_B,delta_final,p_final,final_dir,admissible,direction,n_branches,refreshed_at
13,lcms,value_profile_cmplog,cmplog,value_profile,10,10,149837400.0,125989380.0,23848020.0,0.0073,A>B,1890.7,1589.7,301.0,0.0073,A>B,1,A>B,402,2026-05-29T09:19:32+00:00
14,lcms,value_profile_cmplog,value_profile,I2S,10,10,149837400.0,103194540.0,46642860.0,0.0002,A>B,1890.7,1337.8,552.9,0.0002,A>B,1,A>B,393,2026-05-29T09:19:32+00:00
15,lcms,naive_ctx,naive,ctx_coverage,10,10,101728440.0,89122680.0,12605760.0,0.0311,A>B,1256.6,1257.7,-1.1,0.4424,B>A,1,A>B,26,2026-05-29T09:19:32+00:00
16,lcms,naive_ngram4,naive,ngram_coverage,10,10,82297260.0,89122680.0,-6825420.0,0.3847,B>A,1257.2,1257.7,-0.5,0.5669,B>A,0,B>A,26,2026-05-29T09:19:33+00:00
17,lcms,mopt,naive,mopt_mutation,10,10,97807140.0,89122680.0,8684460.0,0.0757,A>B,1260.1,1257.7,2.4,0.0797,A>B,0,A>B,24,2026-05-29T09:19:33+00:00
18,lcms,minimizer,naive,calibrated_energy,10,10,86412780.0,89122680.0,-2709900.0,0.9698,B>A,1257.5,1257.7,-0.2,0.5651,B>A,0,B>A,24,2026-05-29T09:19:33+00:00
19,lcms,fast,minimizer,aflfast_rarity,10,10,78725160.0,86412780.0,-7687620.0,0.4727,B>A,1258.7,1257.5,1.2,0.3405,A>B,0,B>A,22,2026-05-29T09:19:33+00:00
20,lcms,grimoire,cmplog,grimoire_structural,10,10,126077760.0,125989380.0,88380.0,0.7337,A>B,1591.6,1589.7,1.9,0.9698,A>B,0,A>B,345,2026-05-29T09:19:34+00:00
21,libpng,cmplog,naive,I2S,10,10,142063920.0,119386440.0,22677480.0,0.0002,A>B,1764.5,1457.1,307.4,0.0002,A>B,1,A>B,299,2026-05-29T09:21:01+00:00
22,libpng,value_profile,naive,value_profile,10,10,136241460.0,119386440.0,16855020.0,0.0002,A>B,1711.8,1457.1,254.7,0.0002,A>B,1,A>B,287,2026-05-29T09:21:01+00:00
23,libpng,value_profile_cmplog,cmplog,value_profile,10,10,149329260.0,142063920.0,7265340.0,0.0003,A>B,1847.6,1764.5,83.1,0.0002,A>B,1,A>B,272,2026-05-29T09:21:02+00:00
24,libpng,value_profile_cmplog,value_profile,I2S,10,10,149329260.0,136241460.0,13087800.0,0.0002,A>B,1847.6,1711.8,135.8,0.0002,A>B,1,A>B,308,2026-05-29T09:21:02+00:00
25,libpng,naive_ctx,naive,ctx_coverage,10,10,125799480.0,119386440.0,6413040.0,0.0003,A>B,1548.5,1457.1,91.4,0.0002,A>B,1,A>B,192,2026-05-29T09:21:02+00:00
26,libpng,naive_ngram4,naive,ngram_coverage,10,10,119972520.0,119386440.0,586080.0,0.7913,A>B,1469.9,1457.1,12.8,0.5204,A>B,0,A>B,167,2026-05-29T09:21:02+00:00
27,libpng,mopt,naive,mopt_mutation,10,10,121438800.0,119386440.0,2052360.0,0.2123,A>B,1484.1,1457.1,27.0,0.1508,A>B,0,A>B,176,2026-05-29T09:21:02+00:00
28,libpng,minimizer,naive,calibrated_energy,10,10,118727820.0,119386440.0,-658620.0,0.5708,B>A,1451.7,1457.1,-5.4,0.623,B>A,0,B>A,181,2026-05-29T09:21:03+00:00
29,libpng,fast,minimizer,aflfast_rarity,10,10,120163500.0,118727820.0,1435680.0,0.6776,A>B,1472.0,1451.7,20.3,0.7049,A>B,0,A>B,193,2026-05-29T09:21:03+00:00
30,libpng,grimoire,cmplog,grimoire_structural,10,10,139655160.0,142063920.0,-2408760.0,0.0376,B>A,1714.7,1764.5,-49.8,0.0028,B>A,1,B>A,293,2026-05-29T09:21:03+00:00
31,libxml2,cmplog,naive,I2S,10,10,702530280.0,679276080.0,23254200.0,0.0452,A>B,9294.8,8847.5,447.3,0.001,A>B,1,A>B,1169,2026-05-29T09:28:48+00:00
32,libxml2,value_profile,naive,value_profile,10,10,720546480.0,679276080.0,41270400.0,0.0046,A>B,9674.1,8847.5,826.6,0.0002,A>B,1,A>B,1313,2026-05-29T09:28:58+00:00
33,libxml2,value_profile_cmplog,cmplog,value_profile,10,10,751173480.0,702530280.0,48643200.0,0.0002,A>B,10104.3,9294.8,809.5,0.0002,A>B,1,A>B,1369,2026-05-29T09:28:59+00:00
34,libxml2,value_profile_cmplog,value_profile,I2S,10,10,751173480.0,720546480.0,30627000.0,0.0376,A>B,10104.3,9674.1,430.2,0.0002,A>B,1,A>B,1474,2026-05-29T09:29:01+00:00
35,libxml2,naive_ctx,naive,ctx_coverage,10,10,700621920.0,679276080.0,21345840.0,0.0452,A>B,9311.7,8847.5,464.2,0.001,A>B,1,A>B,1220,2026-05-29T09:29:02+00:00
36,libxml2,naive_ngram4,naive,ngram_coverage,10,10,652423860.0,679276080.0,-26852220.0,0.0173,B>A,8587.1,8847.5,-260.4,0.0312,B>A,1,B>A,1036,2026-05-29T09:29:03+00:00
37,libxml2,mopt,naive,mopt_mutation,10,10,680856840.0,679276080.0,1580760.0,1.0,A>B,8820.0,8847.5,-27.5,0.3447,B>A,0,A>B,1039,2026-05-29T09:29:05+00:00
38,libxml2,minimizer,naive,calibrated_energy,10,10,700182540.0,679276080.0,20906460.0,0.1041,A>B,9218.9,8847.5,371.4,0.0046,A>B,1,A>B,1111,2026-05-29T09:29:06+00:00
39,libxml2,fast,minimizer,aflfast_rarity,10,10,679982220.0,700182540.0,-20200320.0,0.0376,B>A,8923.8,9218.9,-295.1,0.0452,B>A,1,B>A,1101,2026-05-29T09:29:07+00:00
40,libxml2,grimoire,cmplog,grimoire_structural,10,10,748939140.0,702530280.0,46408860.0,0.0003,A>B,9671.5,9294.8,376.7,0.0002,A>B,1,A>B,1222,2026-05-29T09:29:09+00:00
