subject_id,branch_id,n_A_resolved,n_A_blocked,n_A_unreached,n_B_resolved,n_B_blocked,n_B_unreached,A_resolved_trials,A_blocked_trials,B_resolved_trials,B_blocked_trials,p_A_blocked,p_B_blocked,prob_div,avg_dur_A,avg_dur_B,dur_div,avg_hits_A,avg_hits_B,hit_div,hypothesis_label,template_id
31,14223,2,1,7,0,0,10,"[1, 4]",[8],[],[],0.3333333333333333,,-0.3333333333333333,6.666666666666667,,-6.666666666666667,13.0,,13.0,,
31,14224,7,3,0,5,0,5,"[1, 2, 6, 7, 8, 9, 10]","[3, 4, 5]","[1, 3, 5, 7, 9]",[],0.3,0.0,-0.3,7.0,0.4,-6.6,37.5,47.8,-10.299999999999997,,
31,14225,4,3,3,1,4,5,"[1, 8, 9, 10]","[2, 6, 7]",[1],"[3, 5, 7, 9]",0.42857142857142855,0.8,0.3714285714285715,11.571428571428571,14.6,3.0285714285714285,13.714285714285714,9.4,4.314285714285713,,
31,14226,4,3,3,1,4,5,"[1, 8, 9, 10]","[2, 6, 7]",[1],"[3, 5, 7, 9]",0.42857142857142855,0.8,0.3714285714285715,11.571428571428571,14.6,3.0285714285714285,13.0,9.4,3.5999999999999996,,
31,14227,6,4,0,3,2,5,"[2, 4, 5, 7, 8, 10]","[1, 3, 6, 9]","[1, 5, 7]","[3, 9]",0.4,0.4,0.0,10.4,7.8,-2.6000000000000005,3.7,56.0,-52.3,,
31,14228,0,6,4,1,2,7,[],"[2, 4, 5, 7, 8, 10]",[1],"[5, 7]",1.0,0.6666666666666666,-0.33333333333333337,16.666666666666668,15.0,-1.6666666666666679,0.0,0.3333333333333333,-0.3333333333333333,,
31,14229,4,2,4,0,3,7,"[2, 4, 5, 8]","[7, 10]",[],"[1, 5, 7]",0.3333333333333333,1.0,0.6666666666666667,9.0,17.0,8.0,3.5,0.0,3.5,,
31,14230,3,3,4,3,0,7,"[7, 8, 10]","[2, 4, 5]","[1, 5, 7]",[],0.5,0.0,-0.5,6.666666666666667,0.0,-6.666666666666667,2.6666666666666665,93.0,-90.33333333333333,,
31,14231,0,4,6,1,0,9,[],"[2, 4, 5, 8]",[1],[],1.0,0.0,-1.0,11.5,0.0,-11.5,0.0,1.0,-1.0,,
31,14232,1,3,6,0,1,9,[5],"[2, 4, 8]",[],[1],0.75,1.0,0.25,7.0,6.0,-1.0,0.75,0.0,0.75,,
